Mode,Theme,Avg_FPS,Avg_Sim_ms,P1_Low_Sim_ms
Baseline (No DRM),Abstract Cubes,14,58.05,64.80
Baseline (No DRM),Abstract Cubes,14,60.49,62.39
Baseline (No DRM),Abstract Cubes,14,59.78,67.51
Baseline (No DRM),Abstract Cubes,15,65.91,70.35
Baseline (No DRM),Abstract Cubes,15,60.71,66.58
Baseline (No DRM),Abstract Cubes,14,58.61,66.07
Baseline (No DRM),Abstract Cubes,15,57.44,65.66
Baseline (No DRM),Abstract Cubes,14,54.87,60.27
Baseline (No DRM),Abstract Cubes,14,61.11,65.44
Baseline (No DRM),Abstract Cubes,15,57.21,62.90
Baseline (No DRM),Abstract Cubes,15,58.60,65.30
Baseline (No DRM),Abstract Cubes,14,60.46,65.03
Baseline (No DRM),Abstract Cubes,14,59.68,65.87
Baseline (No DRM),Abstract Cubes,15,62.85,67.32
Baseline (No DRM),Abstract Cubes,14,59.31,65.55
Baseline (No DRM),Abstract Cubes,16,56.49,65.69
Baseline (No DRM),Abstract Cubes,14,61.46,67.09
Baseline (No DRM),Abstract Cubes,14,58.94,65.04
Baseline (No DRM),Abstract Cubes,16,57.52,64.03
Baseline (No DRM),Abstract Cubes,16,59.34,65.90
Baseline (No DRM),Abstract Cubes,16,59.78,66.61
Baseline (No DRM),Abstract Cubes,16,60.83,64.30
Baseline (No DRM),Abstract Cubes,15,60.68,66.98
Baseline (No DRM),Abstract Cubes,16,63.34,68.63
Baseline (No DRM),Abstract Cubes,15,63.09,69.78
Baseline (No DRM),Abstract Cubes,16,63.80,69.49
Baseline (No DRM),Abstract Cubes,16,57.89,65.57
Baseline (No DRM),Abstract Cubes,16,59.75,64.78
Baseline (No DRM),Abstract Cubes,16,62.20,64.45
Baseline (No DRM),Abstract Cubes,14,58.17,64.57
Baseline (No DRM),Abstract Cubes,16,59.10,61.49
Baseline (No DRM),Abstract Cubes,16,60.04,64.41
Baseline (No DRM),Abstract Cubes,16,60.94,67.69
Baseline (No DRM),Abstract Cubes,15,61.80,67.55
Baseline (No DRM),Abstract Cubes,16,57.22,64.90
Baseline (No DRM),Abstract Cubes,16,59.11,65.70
Baseline (No DRM),Abstract Cubes,16,59.86,65.48
Baseline (No DRM),Abstract Cubes,16,57.56,63.46
Baseline (No DRM),Abstract Cubes,16,58.23,63.14
Baseline (No DRM),Abstract Cubes,16,64.19,70.60
Baseline (No DRM),Abstract Cubes,16,61.68,67.34
Baseline (No DRM),Abstract Cubes,15,59.47,62.22
Baseline (No DRM),Abstract Cubes,14,60.68,63.95
Baseline (No DRM),Abstract Cubes,16,60.76,65.56
Baseline (No DRM),Abstract Cubes,14,58.81,64.36
Baseline (No DRM),Abstract Cubes,14,62.46,67.95
Baseline (No DRM),Abstract Cubes,15,58.54,64.03
Baseline (No DRM),Abstract Cubes,15,62.12,68.91
Baseline (No DRM),Abstract Cubes,16,57.68,64.14
Baseline (No DRM),Abstract Cubes,15,58.18,64.01
Baseline (No DRM),Abstract Cubes,16,57.56,64.65
Baseline (No DRM),Abstract Cubes,14,59.84,66.80
Baseline (No DRM),Abstract Cubes,15,64.29,70.66
Baseline (No DRM),Abstract Cubes,16,58.41,64.53
Baseline (No DRM),Abstract Cubes,16,63.20,70.17
Baseline (No DRM),Abstract Cubes,16,59.21,64.13
Baseline (No DRM),Abstract Cubes,15,57.37,63.92
Baseline (No DRM),Abstract Cubes,15,57.21,63.64
Baseline (No DRM),Abstract Cubes,14,55.17,61.09
Baseline (No DRM),Abstract Cubes,16,61.60,68.69
Baseline (No DRM),Abstract Cubes,15,61.17,67.09
Baseline (No DRM),Abstract Cubes,15,60.40,65.86
Baseline (No DRM),Abstract Cubes,14,58.76,63.59
Baseline (No DRM),Abstract Cubes,14,59.39,65.78
Baseline (No DRM),Abstract Cubes,14,62.21,67.99
Baseline (No DRM),Abstract Cubes,14,55.42,62.53
Baseline (No DRM),Abstract Cubes,16,60.95,65.05
Baseline (No DRM),Abstract Cubes,14,62.34,66.18
Baseline (No DRM),Abstract Cubes,16,61.67,67.02
Baseline (No DRM),Abstract Cubes,14,58.79,63.11
Baseline (No DRM),Abstract Cubes,14,54.21,60.88
Baseline (No DRM),Abstract Cubes,16,57.98,65.64
Baseline (No DRM),Abstract Cubes,15,60.66,66.55
Baseline (No DRM),Abstract Cubes,15,60.18,64.94
Baseline (No DRM),Abstract Cubes,16,58.93,64.83
Baseline (No DRM),Abstract Cubes,16,63.01,67.93
Baseline (No DRM),Abstract Cubes,15,57.40,62.12
Baseline (No DRM),Abstract Cubes,14,58.93,63.88
Baseline (No DRM),Abstract Cubes,16,61.37,65.59
Baseline (No DRM),Abstract Cubes,16,57.15,63.32
Baseline (No DRM),Abstract Cubes,16,58.32,64.87
Baseline (No DRM),Abstract Cubes,15,63.78,67.59
Baseline (No DRM),Abstract Cubes,14,60.24,65.23
